root_id,primary_type,class,nt_type,group
720575940634664674,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940634969701,KCab-p,Kenyon_Cell,ACH,SCL.MB_ML
720575940635471608,KCab-p,Kenyon_Cell,ACH,SLP.MB_ML
720575940636571310,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940637787226,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940637832255,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940641765773,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940643769544,KCab-p,Kenyon_Cell,ACH,MB_PED
720575940644413732,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940644819223,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940649022841,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940661275009,KCab-p,Kenyon_Cell,ACH,SLP.MB_ML
720575940661337217,KCab-p,Kenyon_Cell,ACH,SCL.MB_ML
