root_id,primary_type,class,nt_type,group,input_neuropils
720575940630767959,MBON15,MBON,ACH,CRE,CRE_L|MB_ML_L|MB_VL_L|SIP_L|SMP_L
720575940630864847,MBON09,MBON,GABA,MB_ML.CRE,CRE_L|CRE_R|MB_ML_L|MB_ML_R|MB_VL_L|SMP_L|SMP_R
720575940631177803,MBON24,MBON,ACH,MB_ML.SIP,CRE_L|EB|LAL_L|LH_L|MB_ML_L|MB_VL_L|SIP_L|SLP_L|SMP_L
720575940632118343,MBON10,MBON,,CRE,CRE_L|SIP_L|SMP_L
720575940632535756,MBON14,MBON,ACH,MB_VL.SMP,MB_VL_L|SIP_L|SLP_L|SMP_L
720575940632943277,MBON35,MBON,ACH,SMP.LAL,AL_R|AOTU_R|ATL_R|CRE_R|EB|EPA_R|LAL_R|MB_ML_R|MB_VL_R|NO|SIP_R|SMP_R|VES_R
720575940633209647,MBON10,MBON,,SMP.CRE,CRE_L|MB_ML_L|SIP_L|SMP_L
720575940634482783,MBON19,MBON,ACH,SMP,CRE_R|MB_VL_R|SIP_R|SMP_R
720575940634822751,MBON17-like,MBON,ACH,SIP.LH,CRE_R|LH_L|LH_R|MB_VL_R|SIP_R|SLP_R|SMP_R
720575940635063135,MBON22,MBON,ACH,MB_CA.CRE,CRE_L|CRE_R|ICL_R|MB_CA_R|MB_ML_L|MB_ML_R|MB_PED_R|PB|PLP_R|SCL_R|SMP_L|SMP_R
720575940635082347,MBON15-like,MBON,ACH,CRE,CRE_L|CRE_R|LH_L|MB_CA_L|MB_VL_L|MB_VL_R|SIP_L|SIP_R|SLP_L|SMP_L|SMP_R
720575940635841143,MBON15,MBON,ACH,SMP,CRE_L|MB_ML_L|MB_VL_L|SIP_L|SLP_L|SMP_L
720575940636992368,MBON31,MBON,GABA,MB_VL.LAL,AL_R|CRE_R|LAL_L|LAL_R|MB_ML_R|MB_VL_R|SIP_R|SMP_R|VES_L|VES_R
720575940637902938,MBON35,MBON,ACH,SMP.LAL,AOTU_L|ATL_L|CRE_L|EPA_L|FLA_L|LAL_L|MB_ML_L|MB_VL_L|NO|SCL_L|SIP_L|SMP_L|VES_L
720575940637934308,MBON30,MBON,GLUT,MB_ML.CRE,BU_R|CRE_L|CRE_R|LAL_R|MB_ML_L|MB_ML_R|MB_PED_R|MB_VL_R|SIP_R|SMP_L|SMP_R
720575940638028607,MBON06,MBON,GLUT,MB_ML,CRE_L|MB_ML_L|MB_PED_L|MB_VL_L|SIP_L|SLP_L|SMP_L
720575940638163428,MBON06,MBON,GLUT,MB_ML.MB_VL,CRE_R|GA_L|MB_ML_R|MB_PED_R|MB_VL_R|SIP_R|SLP_R|SMP_R
720575940638526278,MBON32,MBON,,SMP.LAL,AL_L|CRE_L|CRE_R|FLA_R|LAL_L|LAL_R|MB_ML_R|MB_VL_R|SMP_R|SPS_R|VES_L|VES_R
720575940638774606,MBON17,MBON,ACH,SIP.LH,LH_L|LH_R|MB_VL_L|SIP_L|SIP_R|SLP_L|SLP_R|SMP_L
720575940639556467,MBON10,MBON,GABA,CRE,CRE_R|MB_ML_R|SIP_R|SMP_R
720575940639697827,MBON14,MBON,ACH,MB_VL.SMP,MB_ML_R|MB_VL_R|SIP_R|SLP_R|SMP_R
720575940642142861,MBON10,MBON,GLUT,SMP.CRE,CRE_L|MB_ML_L|SMP_L
720575940643309197,MBON01,MBON,GLUT,MB_ML.SMP,CRE_L|CRE_R|MB_ML_R|SMP_R
720575940643696288,MBON14,MBON,ACH,MB_VL.SMP,MB_VL_L|SIP_L|SLP_L|SMP_L
720575940643700640,MBON29,MBON,ACH,CRE.SMP,CRE_L|CRE_R|MB_ML_L|MB_ML_R|MB_VL_L|SMP_L|SMP_R
720575940643863496,MBON20,MBON,GABA,CRE.PLP,AVLP_L|CRE_L|EB|GA_L|IB_L|ICL_L|LAL_L|LH_L|MB_ML_L|MB_PED_L|MB_VL_L|NO|PLP_L|PVLP_L|SCL_L|SLP_L|SMP_L|SPS_L|VES_L
720575940644615716,MBON31,MBON,GABA,LAL,AL_R|CRE_L|LAL_L|LAL_R|MB_ML_L|MB_VL_L|SMP_L|VES_L|VES_R
720575940645304430,MBON13,MBON,ACH,MB_VL.SMP,CRE_L|MB_VL_L|SIP_L|SMP_L
720575940647328900,MBON10,MBON,GABA,CRE,CRE_R|MB_ML_R|SIP_R|SMP_R
720575940650386553,MBON17-like,MBON,ACH,SIP.LH,CRE_L|LH_L|LH_R|MB_VL_L|MB_VL_R|SIP_L|SIP_R|SLP_L|SLP_R|SMP_L|SMP_R
720575940652390134,MBON07,MBON,GLUT,MB_ML.SLP,CRE_L|MB_ML_L|MB_PED_L|MB_VL_L|SIP_L|SLP_L|SMP_L
