odor,reward,mbon_output,veto_value,gating_factor,rpe,dopamine,weight_change_magnitude,replicate,seed
DL3,1.0,0.0003361875223568622,0.0,1.0,0.849685947109942,0.849685947109942,0.0001271241210820817,2,142
DA1,1.0,0.11573653014494471,0.0,1.0,0.8646016158688029,0.8646016158688029,0.04158771555914017,2,142
DL3,1.0,0.000466129873546179,0.0,1.0,0.8781409881520491,0.8781409881520491,0.00014256669850994563,2,142
DA1,1.0,0.1529067704078828,0.0,1.0,0.8901739825664363,0.8901739825664363,0.05656929387810933,2,142
DL3,1.0,0.0006436656453150039,0.0,1.0,0.9011559406441474,0.9011559406441474,0.00016240562522925947,2,142
DA1,1.0,0.20346719565394222,0.0,1.0,0.9108368793840788,0.9108368793840788,0.0770219685640501,2,142
DL3,1.0,0.0008862461581250064,0.0,1.0,0.9197523051995128,0.9197523051995128,0.00018926804973966964,2,142
DA1,1.0,0.27230774102253363,0.0,1.0,0.927504766938539,0.927504766938539,0.10496780390275913,2,142
DL3,1.0,0.001217770346291889,0.0,1.0,0.9347530724743389,0.9347530724743389,0.00022680637965045606,2,142
DA1,1.0,0.3661256145979004,0.0,1.0,0.9409116396123072,0.9409116396123072,0.14317236985347837,2,142
DL3,1.0,0.00167095692627918,0.0,1.0,0.9468188046941501,0.9468188046941501,0.0002799206606143158,2,142
DA1,1.0,0.49408982503736676,0.0,1.0,0.9516428343996979,0.9516428343996979,0.1954161141134454,2,142
DL3,1.0,0.002290582563310478,0.0,1.0,0.9564762603771648,0.9564762603771648,0.00035504541050066673,2,142
DA1,1.0,0.6687482550786925,0.0,1.0,0.9601598860843696,0.9601598860843696,0.26686208325794264,2,142
DL3,1.0,0.0031378938374914465,0.0,1.0,0.9641407595820952,0.9641407595820952,0.00046061450198188556,2,142
DA1,1.0,0.9072633954249067,0.0,1.0,0.9668194202284608,0.9668194202284608,0.36455204498981303,2,142
DL3,1.0,0.004296603465620748,0.0,1.0,0.9701331816021491,0.9701331816021491,0.0006077995374512166,2,142
DA1,1.0,1.2330915008417678,0.0,1.0,0.9718867719410925,0.9718867719410925,0.4980716941172161,2,142
DL3,1.0,0.005881011791549413,0.0,1.0,0.9746922137351917,0.9746922137351917,0.0008115706054740056,2,142
DA1,1.0,1.6782562914441181,0.0,1.0,0.9755447360702285,0.9755447360702285,0.6804346745693809,2,142
DL3,1.0,0.008046954672065803,0.0,1.0,0.9779822155085336,0.9779822155085336,0.001092114423017897,2,142
DA1,1.0,2.2864127716744953,0.0,1.0,0.9778975811860058,0.9778975811860058,0.929242429453781,2,142
DL3,1.0,0.011006463495917546,0.0,1.0,0.9800968166039092,0.9800968166039092,0.001476664585370195,2,142
DA1,1.0,3.1169476953991238,0.0,1.0,0.9789701872481192,0.9789701872481192,1.2681775136164215,2,142
DL3,1.0,0.015047212006676221,0.0,1.0,0.9810581213113007,0.9810581213113007,0.0020018144705580914,2,142
DA1,1.0,4.250414717767254,0.0,1.0,0.9787018944624034,0.9787018944624034,1.7288719869293,2,142
DL3,1.0,0.02055796667681942,0.0,1.0,0.9808111470494862,0.9808111470494862,0.0027163618530222484,2,142
DA1,1.0,5.7956394717004835,0.0,1.0,0.9769343928728371,0.9769343928728371,2.353140662635111,2,142
DL3,1.0,0.028061241627465327,0.0,1.0,0.979212892343926,0.979212892343926,0.003684643702965829,2,142
DA1,1.0,7.898820667146882,0.0,1.0,0.9733927824423865,0.9733927824423865,3.195446297407772,2,142
DL3,1.0,0.03825396511820931,0.0,1.0,0.9760152502330297,0.9760152502330297,0.004990107448216332,2,142
DA1,1.0,10.754834516001864,0.0,1.0,0.9676588906937249,0.9676588906937249,4.325209878783316,2,142
DL3,1.0,0.05205578275910935,0.0,1.0,0.9708409458415934,0.9708409458415934,0.006738438417319718,2,142
DA1,1.0,14.620604032618832,0.0,1.0,0.9591362472248153,0.9591362472248153,5.828097296809224,2,142
DL3,1.0,0.07066193883924725,0.0,1.0,0.9631519605634945,0.9631519605634945,0.009058776782380566,2,142
DA1,1.0,19.829618323688262,0.0,1.0,0.9470071461834568,0.9470071461834568,7.804566656194145,2,142
DL3,1.0,0.09559234260177742,0.0,1.0,0.9522108392225095,0.9522108392225095,0.012100219942003991,2,142
